product_id,name,category,price,stock,rating,on_sale
1,Gadget 1,Books,55.53,43,3.3,False
2,Product 2,Beauty,279.58,196,3.0,True
3,Object 3,Toys,432.86,170,2.4,True
4,Product 4,Books,73.62,179,3.7,True
5,Object 5,Toys,459.39,129,3.1,True
6,Product 6,Sports,208.21,106,3.1,True
7,Thing 7,Home,339.21,56,1.6,True
8,Object 8,Toys,211.91,198,2.6,True
9,Object 9,Beauty,47.84,53,4.9,False
10,Object 10,Clothing,358.9,73,3.9,True
11,Widget 11,Beauty,342.61,31,3.5,False
12,Thing 12,Books,357.47,167,3.1,True
13,Device 13,Sports,369.09,130,2.1,False
14,Gadget 14,Clothing,109.49,164,3.2,True
15,Item 15,Electronics,100.66,54,4.4,True
16,Widget 16,Toys,497.12,174,4.0,False
17,Widget 17,Electronics,477.06,64,4.4,False
18,Item 18,Toys,357.69,59,3.6,False
19,Device 19,Clothing,213.79,137,3.9,True
20,Device 20,Electronics,269.22,63,2.4,True
21,Widget 21,Clothing,399.28,133,4.8,False
22,Item 22,Sports,328.09,96,3.8,True
23,Item 23,Electronics,184.41,145,4.4,False
24,Object 24,Beauty,73.67,112,1.0,True
25,Widget 25,Clothing,391.7,62,1.0,True
26,Object 26,Home,176.36,166,4.8,False
27,Gadget 27,Toys,339.84,146,1.2,True
28,Gadget 28,Toys,284.65,179,2.4,True
29,Product 29,Books,491.44,2,3.4,True
30,Widget 30,Books,462.76,138,2.2,False
31,Item 31,Beauty,346.04,17,3.3,False
32,Product 32,Sports,14.89,18,1.3,False
33,Object 33,Clothing,70.49,98,1.8,False
34,Product 34,Sports,284.3,67,4.6,False
35,Gadget 35,Toys,73.84,172,1.4,False
36,Thing 36,Home,324.81,163,1.8,True
37,Widget 37,Sports,202.91,44,2.0,True
38,Device 38,Electronics,267.97,83,1.3,True
39,Device 39,Beauty,186.54,69,2.8,False
40,Thing 40,Clothing,225.37,54,3.3,True
41,Widget 41,Sports,77.88,50,2.9,False
42,Gadget 42,Electronics,346.15,121,4.8,True
43,Item 43,Toys,99.77,0,5.0,True
44,Thing 44,Toys,308.04,1,3.0,True
45,Item 45,Home,219.74,74,4.6,True
46,Device 46,Beauty,82.77,122,4.7,True
47,Item 47,Beauty,210.61,160,4.3,False
48,Device 48,Sports,8.3,175,4.6,True
49,Device 49,Beauty,224.4,28,2.5,False
50,Object 50,Beauty,497.62,70,2.2,True
51,Gadget 51,Electronics,145.06,69,3.3,True
52,Device 52,Clothing,312.42,165,4.0,False
53,Widget 53,Books,59.2,178,2.4,False
54,Item 54,Beauty,384.13,181,3.5,False
55,Object 55,Clothing,15.87,144,3.1,True
56,Item 56,Clothing,94.26,18,1.4,False
57,Gadget 57,Books,218.36,155,3.0,False
